标题,详情页,发布时间,up博主,图片,观看次数
白易辰主动吻啦！初雪夜他忍不住吻了她！白易辰你了不起【二十五二十一吻戏】【南柱赫*金泰梨】,https://www.bilibili.com/video/BV1rY411E7im?from=search&seid=6796041745896382630,2022-03-27,jin哥给你泡泡茶,https://i1.hdslb.com/bfs/archive/e094885c6e7c41f10e0c135d1f02968cf4cce8ce.jpg@400w_250h_1c.webp,2.3万
【金泰梨 | 梨花殿中字】220129 公司春节问候,https://www.bilibili.com/video/BV1d34y117Sf?from=search&seid=6796041745896382630,2022-01-29,梨花殿-金泰梨园,https://i0.hdslb.com/bfs/archive/1d3ec1f417ee012d453235a1e6a0a9b252393474.jpg@400w_250h_1c.webp,1.0万
【金泰梨 | 两站联合中字】220209 《二十五二十一》制作发布会全场,https://www.bilibili.com/video/BV1hm4y1Z7mq?from=search&seid=6796041745896382630,2022-02-11,梨花殿-金泰梨园,https://i2.hdslb.com/bfs/archive/338cea10d0e18c30fa8ceeadd2c47ee2cbd058c0.jpg@400w_250h_1c.webp,4.7万
【金泰梨】活久见，金泰梨跳舞了？！反复观看,https://www.bilibili.com/video/BV1NS4y1r7kq?from=search&seid=6796041745896382630,2022-03-05,朱迪不二SEVEN,https://i2.hdslb.com/bfs/archive/87c90b3f32383b053d802bc89ef1825acc343c25.jpg@400w_250h_1c.webp,1.2万
【金泰梨】中字_第37届青龙电影奖—最佳新人女演员,https://www.bilibili.com/video/BV1px41117VC?from=search&seid=6796041745896382630,2017-02-05,梨花殿-金泰梨园,https://i2.hdslb.com/bfs/archive/c355d706187cb25140ccab5212574c23361003f1.jpg@400w_250h_1c.webp,8.2万
金泰梨｜元气小梨成长史,https://www.bilibili.com/video/BV1TY4y1p7tH?from=search&seid=6796041745896382630,2022-04-14,方头狮子搜神记,https://i2.hdslb.com/bfs/archive/c239d0c4a17f089bf05f8e24153bd5521d99b525.jpg@400w_250h_1c.webp,1.1万
[2521南柱赫杀青奖] 等一个南柱赫金泰梨官宣！感谢最好的公司soop！,https://www.bilibili.com/video/BV1Ma411i7fi?from=search&seid=6796041745896382630,2022-04-04,白桃永不分手,https://i1.hdslb.com/bfs/archive/12a736f9ed2957ecc578462cc79ddc7ce415d7e2.jpg@400w_250h_1c.webp,7680
【二十五 二十一】笑死‖居然有人觉得金泰梨配不上南柱赫,https://www.bilibili.com/video/BV1wR4y1j7Rq?from=search&seid=6796041745896382630,2022-02-22,hhlu_ya,https://i1.hdslb.com/bfs/archive/5aa39e1ebfa359a8b597e74a4acc84dbe29c6506.jpg@400w_250h_1c.webp,9.3万
#金泰梨 ：男人这种东西，麻烦离老娘远一点~,https://www.bilibili.com/video/BV1RF411T7QF?from=search&seid=6796041745896382630,2022-05-07,汇娱,https://i0.hdslb.com/bfs/archive/ba9d20ff7ebbae937d11ceb56f582d8369ed9767.jpg@400w_250h_1c.webp,5.0万
“和我在一起的时候，偷偷幸福吧”◎ 二十五二十一 ◎ 南柱赫×金泰梨,https://www.bilibili.com/video/BV1oL411K71j?from=search&seid=6796041745896382630,2022-02-19,薏米红豆粥呀,https://i0.hdslb.com/bfs/archive/8fabe84d73e72c5dc92eff2ee113a307b21bec24.jpg@400w_250h_1c.webp,1.3万
女主:莫?居然这么多人跟我抢女二的【金泰梨&金知妍】【女主&女二】,https://www.bilibili.com/video/BV1834y1C7JY?from=search&seid=6796041745896382630,2022-02-14,拿呐呐那那那,https://i0.hdslb.com/bfs/archive/20ced5cfcad7630b51c3d65bb908e459a32422bb.png@400w_250h_1c.webp,12.8万
0521#闲着干嘛呢#预告孙艺珍，罗文熙，金泰梨片段,https://www.bilibili.com/video/BV13F411j7Ud?from=search&seid=6796041745896382630,2022-05-21,三角脑袋喵,https://i1.hdslb.com/bfs/archive/add5dc543a0d98599d79464f9e67e016dc5acaf8.jpg@400w_250h_1c.webp,1480
什么是忠武路新星？【金泰梨】,https://www.bilibili.com/video/BV17i4y1y7i4?from=search&seid=6796041745896382630,2022-02-25,珊瑚礁里的胖头鱼,https://i2.hdslb.com/bfs/archive/f42a6fc7048ae6acff3db67bc275bf0cb9d99ea1.jpg@400w_250h_1c.webp,4.3万
搞笑女也能燃？又甜又飒的骑士型女友谁不想要！｜【金泰梨燃向】二十五二十一,https://www.bilibili.com/video/BV1ur4y1z7fi?from=search&seid=6796041745896382630,2022-02-26,-三岭,https://i2.hdslb.com/bfs/archive/6561e9af9142bb15b0f071f4aa68b88703407e4f.jpg@400w_250h_1c.webp,2.2万
我们只是相爱 仅此而已【金泰梨x金知妍】【橘里橘气】,https://www.bilibili.com/video/BV17F411372u?from=search&seid=6796041745896382630,2022-04-04,TOMO懒,https://i0.hdslb.com/bfs/archive/d627e04f8dc5e7bb6015426ad4fe6f9e84878fa6.jpg@400w_250h_1c.webp,1.5万
“没有希度的白易辰该怎样幸福”｜南柱赫✘金泰梨,https://www.bilibili.com/video/BV1Xr4y1H7sn?from=search&seid=11573770217599682402,2022-04-02,别打扰我l,https://i1.hdslb.com/bfs/archive/5dafa4ff5110fa203838014dabc62e0a88e06dd9.jpg@400w_250h_1c.webp,1.2万
再见，我的太阳罗希度。愿你以后的人生不再哭泣｜罗希度成长向哭戏剪辑｜金泰梨｜二十五二十一结局,https://www.bilibili.com/video/BV1sq4y1e7rk?from=search&seid=11573770217599682402,2022-04-03,画圈圈的小水晶,https://i0.hdslb.com/bfs/archive/e144753a690a522b640cae5fbd1b9c3ca0d0f9ba.jpg@400w_250h_1c.webp,7658
【金泰梨】这么可爱怎么会有人不喜欢呢？,https://www.bilibili.com/video/BV1UY411F7fm?from=search&seid=11573770217599682402,2022-05-21,哈奔儿一个,https://i0.hdslb.com/bfs/archive/22504d4c72c63a6dc1421318092c32a8c4def0dc.jpg@400w_250h_1c.webp,1587
买行李箱这里好像现实情侣哟哈哈哈金泰梨本色出演吧，好可爱欢脱的姐姐【南柱赫x金泰梨】,https://www.bilibili.com/video/BV18L4y1j7UV?from=search&seid=11573770217599682402,2022-04-08,四耶知秋,https://i0.hdslb.com/bfs/archive/9f075e5b947117f24bb592890da45c2070e74d63.jpg@400w_250h_1c.webp,1.1万
【金泰梨x南柱赫】这才是我想要的白桃HE!!!!  ||2521 happy ending ||白桃背着所有人一起偷偷幸福吧,https://www.bilibili.com/video/BV1ZZ4y1y7Kc?from=search&seid=11573770217599682402,2022-04-20,给我一个肉丸子,https://i0.hdslb.com/bfs/archive/3fcf2fb49fb19b5c2f2a34e48be05aa432da508d.jpg@400w_250h_1c.webp,4878
【金泰梨x南柱赫】《Every Moment Is Special》定格下每个瞬间,https://www.bilibili.com/video/BV19a411i7cW?from=search&seid=11573770217599682402,2022-04-09,北岛oo,https://i2.hdslb.com/bfs/archive/a66733125d18d7bfe23ce334c3f6f84fa1eb562f.jpg@400w_250h_1c.webp,1.6万
160527 金泰梨 金敏喜 《小姐》电影见面会,https://www.bilibili.com/video/BV1Cs411h7Hz?from=search&seid=11573770217599682402,2017-01-16,June之,https://i1.hdslb.com/bfs/archive/d3f11fced4be632fbced67d9e9d3c088c0b57793.jpg@400w_250h_1c.webp,63.8万
是你让我依然爱着这个让我尘土满面的人间#南柱赫 #金泰梨,https://www.bilibili.com/video/BV1HT4y1Q7Tz?from=search&seid=11573770217599682402,2022-02-27,艾弗布能,https://i2.hdslb.com/bfs/archive/ff6bc45673a758a21be21cf0ee01590e03d0c5b7.jpg@400w_250h_1c.webp,4.0万
“再也没有人会为我穿拖鞋可能会受伤而生气”｜南柱赫×金泰梨◎二十五二十一,https://www.bilibili.com/video/BV1b3411n7U1?from=search&seid=11573770217599682402,2022-04-16,别打扰我l,https://i1.hdslb.com/bfs/archive/31dcf5318a6c49a08d7bf549c6fc306c132c19ff.jpg@400w_250h_1c.webp,3588
“一个人演戏没意思，和柱赫演戏才最有意思。只要柱赫来了，我就感觉心情无比舒畅。”南柱赫金泰梨，与生俱来的爱情反应,https://www.bilibili.com/video/BV1WY4y1i7JM?from=search&seid=11573770217599682402,2022-04-08,南方有梨,https://i1.hdslb.com/bfs/archive/8e0a7811835c5a23623e0194b95fefaafe7fb58b.jpg@400w_250h_1c.webp,6836
【二十五二十一】白易辰×罗希度 双人cut ‖南柱赫×金泰梨（更新完毕）,https://www.bilibili.com/video/BV1HS4y1F7TY?from=search&seid=11573770217599682402,2022-02-20,桃子味的小c,https://i0.hdslb.com/bfs/archive/25d932404f0daa987b3c5fd6aa25e13dbcaed518.png@400w_250h_1c.webp,22.8万
【金泰梨】我们泰梨笑得好开心啊哈哈哈哈 和李俊昊获得奖之后合照cut,https://www.bilibili.com/video/BV1nY4y1b7gd?from=search&seid=11573770217599682402,2022-05-07,给我一个肉丸子,https://i2.hdslb.com/bfs/archive/12bccce8d2f4d0b04e992d924dd74e607625c592.jpg@400w_250h_1c.webp,6224
“我 们 终 究 没 能 抵 过 现 实”白易辰＆罗希度|南柱赫＆金泰梨,https://www.bilibili.com/video/BV19q4y1h7z3?from=search&seid=11573770217599682402,2022-04-04,澜烟知己,https://i1.hdslb.com/bfs/archive/f8077a8f6d6042860f32a1e43f15dbbbf286d5e1.jpg@400w_250h_1c.webp,1.9万
『平平无奇的卡点小天才 | 高爱信』 阳光先生 | 金泰梨 卡点混剪,https://www.bilibili.com/video/BV12Y411w71a?from=search&seid=11573770217599682402,2022-05-01,阿西你帮我取个名吧,https://i2.hdslb.com/bfs/archive/7dee8cca740449e33d2a6802dcbc91799c9496d3.jpg@400w_250h_1c.webp,1972
“副驾驶是她 安全带我系”【金泰梨×南柱赫】,https://www.bilibili.com/video/BV1GL4y137oL?from=search&seid=11573770217599682402,2022-02-28,胖虎与年糕,https://i2.hdslb.com/bfs/archive/3bd92efb3ca66c93faf74be2ae588ad477786249.jpg@400w_250h_1c.webp,1.8万
盯妻狂魔上线 眼神拉丝！帅哥就是要演甜宠！【南柱赫×金泰梨 二十五二十一】,https://www.bilibili.com/video/BV1ia411C7gb?from=search&seid=11573770217599682402,2022-02-20,全网最花心女孩,https://i1.hdslb.com/bfs/archive/ca9018af7feaf961cfdd6b629bb62f7c9f56dc60.jpg@400w_250h_1c.webp,1.4万
「大小金CP第十五彈」：《小姐》《The Handmaiden》結局走向竟有點小獵奇XD金泰梨金敏喜～（BGM：田馥甄 你就不要想起我）,https://www.bilibili.com/video/BV1cb411m7wJ?from=search&seid=11573770217599682402,2019-02-16,王小悠,https://i0.hdslb.com/bfs/archive/695a37e352e78aa674246a59d78741c99e40503f.jpg@400w_250h_1c.webp,60.2万
金泰梨 南柱赫 ｜二十五 二十一 就我磕真人吗？看了那么多南朋友的剧，就这部疯狂的想磕真人啊啊啊啊啊！我也不知道为什么就是觉得他俩很配，命中注定的那种！,https://www.bilibili.com/video/BV1x34y1b7nt?from=search&seid=11573770217599682402,2022-03-25,奈奈美酱呀,https://i1.hdslb.com/bfs/archive/39fb5dfc63e352df47deb9a47e10dc057cc70a47.jpg@400w_250h_1c.webp,6403
【阳光先生】真的有人能看了这40s不爱上金泰梨吗,https://www.bilibili.com/video/BV19Z4y1B7eF?from=search&seid=11573770217599682402,2022-03-28,不知名网友透露,https://i1.hdslb.com/bfs/archive/7b7768061bfdff52d449511c775e6508e2788358.jpg@400w_250h_1c.webp,1.7万
二十五，二十一 | Netflix随机采访 金泰梨|南柱赫|苞娜|崔显旭|李周明|tvN|韩剧|网飞,https://www.bilibili.com/video/BV1GL411T7z6?from=search&seid=11573770217599682402,2022-02-25,可宇可宙,https://i1.hdslb.com/bfs/archive/966088e7ace2c7e83896b7595e6f044eb60d695e.jpg@400w_250h_1c.webp,8626
【金泰梨x南柱赫】四搭吧,https://www.bilibili.com/video/BV1m44y1375s?from=search&seid=12254415823485423110,2022-04-16,鸭猪一家亲,https://i2.hdslb.com/bfs/archive/7f503aef2a5c0e35e301bae970b4a23fc942cbca.jpg@400w_250h_1c.webp,7464
剧中删减片段放出：罗希度跟高宥琳求婚成功了！超甜！【二十五二十一｜金泰梨x苞娜｜罗希度x高宥琳】,https://www.bilibili.com/video/BV1hS4y1P7uy?from=search&seid=12254415823485423110,2022-04-04,追剧上头的亚里士缺德,https://i2.hdslb.com/bfs/archive/eda8e78434e1e01a044e66598b41c6a5a661cf27.jpg@400w_250h_1c.webp,2.2万
【金泰梨】笑拉了！她又又又踩裙子了(≧ω≦)/,https://www.bilibili.com/video/BV1z3411P7P1?from=search&seid=12254415823485423110,2022-05-08,哈奔儿一个,https://i0.hdslb.com/bfs/archive/24bdc2f0d51577f232af2f4ec8f70faa1107d30f.jpg@400w_250h_1c.webp,5.2万
【南柱赫×金泰梨】直球女的爱不会拐弯抹角,https://www.bilibili.com/video/BV1Nr4y1s7dA?from=search&seid=12254415823485423110,2022-03-27,iman_u,https://i1.hdslb.com/bfs/archive/43c3f1bc0b005d39ab9df1a2e325c93277443c7a.jpg@400w_250h_1c.webp,1.4万
【二十五二十一】呜呜呜老男人的爱，来得迅猛又热烈啊，，终于在一起了!感谢二十五二十一，感谢南柱赫金泰梨，感谢白易辰罗熙度，感谢2022，我已经心动得睡不着觉了!,https://www.bilibili.com/video/BV1E34y1b7Za?from=search&seid=12254415823485423110,2022-03-26,马林贰,https://i2.hdslb.com/bfs/archive/fb8df37eb3d3774d3ce2a4cb00115d80ea08a208.jpg@400w_250h_1c.webp,5.8万
「穿 越 时 空」 金泰梨2022生贺视频｜主流影视全角色高燃踩点混剪｜南淑姬｜罗希度｜高爱信,https://www.bilibili.com/video/BV1E34y1e7JX?from=search&seid=12254415823485423110,2022-04-24,画圈圈的小水晶,https://i1.hdslb.com/bfs/archive/5e4defbae2dc5d2555fa97583280729844ae87b0.jpg@400w_250h_1c.webp,2600
【金泰梨 | 梨花殿中字】190607 “我们一起聊天儿吧！”直播,https://www.bilibili.com/video/BV1qE411D76H?from=search&seid=12254415823485423110,2019-10-07,梨花殿-金泰梨园,https://i0.hdslb.com/bfs/archive/5358218b1f891820e501a15fed61b71f59c80e46.jpg@400w_250h_1c.webp,5.2万
【南柱赫×金泰梨】她直接叫我白易辰，却叫他欧巴？！”,https://www.bilibili.com/video/BV1TU4y1o7Hs?from=search&seid=12254415823485423110,2022-03-27,iman_u,https://i2.hdslb.com/bfs/archive/461ea5fd008522ace50a72d8fdda984217d4d3fe.jpg@400w_250h_1c.webp,3.5万
【二十五二十一】【金泰梨】好喜欢这姐跳舞,https://www.bilibili.com/video/BV1qT4y1v7km?from=search&seid=12254415823485423110,2022-04-06,爱ITZY的独眼霹雳y,https://i0.hdslb.com/bfs/archive/f63643ceb684943ce74cb1d21ccd81241ca3e554.jpg@400w_250h_1c.webp,6735
《金泰梨的废话文学2.0》哈哈哈哈嗝~相信大家都很爱听泰梨说废话~,https://www.bilibili.com/video/BV1H34y1e7tk?from=search&seid=12254415823485423110,2022-04-24,阿西你帮我取个名吧,https://i0.hdslb.com/bfs/archive/f6761b2fc0696ed8fbc26934120a9243fff6e45f.jpg@400w_250h_1c.webp,4214
（第六篇）【金泰梨】 你确定自己是有点害羞？！,https://www.bilibili.com/video/BV1LY4y1k7vE?from=search&seid=12254415823485423110,2022-04-29,哈奔儿一个,https://i0.hdslb.com/bfs/archive/934f434874f6428aebc56bb5226b049771053bfc.jpg@400w_250h_1c.webp,4046
金泰梨 ||“不是什么人都能当忠 武 路 紫 微 星”,https://www.bilibili.com/video/BV1Yb4y1W7sT?from=search&seid=12254415823485423110,2022-03-07,萬代同壹時,https://i1.hdslb.com/bfs/archive/91ca4ee062e7f8fb45b19543d1188288933f63a0.jpg@400w_250h_1c.webp,8.4万
“以后和我在一起的时候，你可以背着他们偷偷幸福”|南柱赫x金泰梨◎双向治愈,https://www.bilibili.com/video/BV1Ri4y117Kb?from=search&seid=12254415823485423110,2022-02-17,玻璃气枪,https://i0.hdslb.com/bfs/archive/ae9dfde465ec4fce049b6739f73020b8dc6d0e94.jpg@400w_250h_1c.webp,1.0万
【二十五二十一】主演五人合唱ost-With MV （中文字幕自制） （金泰梨 南柱赫 苞娜 李周明 崔显旭）,https://www.bilibili.com/video/BV1K34y1t7BR?from=search&seid=12254415823485423110,2022-03-15,TiramisuCakeke,https://i2.hdslb.com/bfs/archive/567f1835b0b01e36d109993a773f52e28c8dda83.jpg@400w_250h_1c.webp,8145
男主: 你把我放在哪里【金泰梨&金知妍】【女主&女二】,https://www.bilibili.com/video/BV1mY411L7ri?from=search&seid=12254415823485423110,2022-02-13,拿呐呐那那那,https://i0.hdslb.com/bfs/archive/e28fde8d9c240a37506f3fb183b8603cfbf23422.jpg@400w_250h_1c.webp,1.6万
心疼! ！! 她只是想要有个人能认可她啊|白易辰×罗希度|南柱赫×金泰梨|二十五二十一,https://www.bilibili.com/video/BV1Au411Q7E9?from=search&seid=12254415823485423110,2022-03-06,澜烟知己,https://i1.hdslb.com/bfs/archive/7607dee962a5ed3bf837cadb5780259e9dbef016.jpg@400w_250h_1c.webp,6.9万
【苞娜x金泰梨】原来是双向的选择,https://www.bilibili.com/video/BV1uu41127nQ?from=search&seid=12254415823485423110,2022-01-29,池小墨y,https://i2.hdslb.com/bfs/archive/d8ed2e4d2df2270947f5bbf512e315af7472e5be.jpg@400w_250h_1c.webp,5.7万
越看越觉得这个男朋友像个电灯泡，被男主拿捏的死死的，吃醋中略带一些吃瓜的性质 #南柱赫 #金泰梨,https://www.bilibili.com/video/BV1HR4y157kT?from=search&seid=12254415823485423110,2022-02-28,艾弗布能,https://i0.hdslb.com/bfs/archive/ebfbf7866cd17f64d6baaa3e2b0449804ce24083.jpg@400w_250h_1c.webp,4.4万
【预告/合集】阳光先生【李秉宪/金泰梨/柳演锡/卞约汉】,https://www.bilibili.com/video/BV13W411J7Z1?from=search&seid=12254415823485423110,2018-02-15,Lotte-F,https://i1.hdslb.com/bfs/archive/6670766f4c02b0c6891b1046e926c7cf24b2de05.jpg@400w_250h_1c.webp,4.1万
“be了！！说好的，你一步都不要离开我呢”白易辰＆罗希度|南柱赫＆金泰梨,https://www.bilibili.com/video/BV1FY4y1W7Gb?from=search&seid=12254415823485423110,2022-04-02,澜烟知己,https://i0.hdslb.com/bfs/archive/0164c1f24d33baa9d51f8acb41e1b1d6c5f68495.jpg@400w_250h_1c.webp,5113
"【二十五二十一】主演5人合唱OST Part7《With》MV公开 (金泰梨,南柱赫,苞娜,崔显旭,李周明)",https://www.bilibili.com/video/BV1JY411374v?from=search&seid=4171644475137489362,2022-03-14,可宇可宙,https://i1.hdslb.com/bfs/archive/2bf042d1a92d1ddf8cac505d7f8b2d9bd34f8918.jpg@400w_250h_1c.webp,2.4万
【金泰梨 | 梨花殿中字】《二十五二十一》 VR展览室之旅,https://www.bilibili.com/video/BV1cS4y1w7en?from=search&seid=4171644475137489362,2022-04-25,梨花殿-金泰梨园,https://i1.hdslb.com/bfs/archive/ed531535704e373edfd31a75e17a9c3d8e516ed1.jpg@400w_250h_1c.webp,1.4万
金泰梨确诊新冠，3月4日接触隔离，恢复《二十五二十一拍摄》同剧组南柱赫、苞娜未确诊,https://www.bilibili.com/video/BV1iR4y157Hz?from=search&seid=4171644475137489362,2022-03-02,有籽小月饼,https://i0.hdslb.com/bfs/archive/b382f2655d55f9ca6bda13801ab7d606fd0e7761.jpg@400w_250h_1c.webp,8426
【金泰梨&南柱赫】整部剧的两段吻戏都在这了！第二段我看了无数遍，简直泪目！,https://www.bilibili.com/video/BV1KS4y1b7X2?from=search&seid=4171644475137489362,2022-05-12,Nan方99,https://i2.hdslb.com/bfs/archive/438139f79dfb8d3aa6a2db524915d0fd256d7c84.jpg@400w_250h_1c.webp,1731
【电影剪辑】小姐 2016 【金敏喜金泰梨cut】,https://www.bilibili.com/video/BV1fs41147kP?from=search&seid=4171644475137489362,2016-10-24,Sheyage,https://i0.hdslb.com/bfs/archive/3f78e606b8791e75d985f70323db58f62876c394.jpg@400w_250h_1c.webp,136.1万
金泰梨对男人VS对女人的大型双标现场！姐不用抱，你坐下就行哈哈哈哈哈！恭喜泰梨拿百想视后！,https://www.bilibili.com/video/BV1pZ4y1h7cJ?from=search&seid=4171644475137489362,2022-05-07,只想暴富啊啊啊,https://i0.hdslb.com/bfs/archive/63a6652f717a9a13261ffcad9d3f11b4d20c8a9c.jpg@400w_250h_1c.webp,4.2万
论社牛还得是金泰梨 可以说是罗希度本度了 哈哈哈哈,https://www.bilibili.com/video/BV1uu411v7ss?from=search&seid=4171644475137489362,2022-04-08,阿西你帮我取个名吧,https://i0.hdslb.com/bfs/archive/833f20dd864674344476bd8b9eedb47be28cb102.jpg@400w_250h_1c.webp,7886
阳光先生‖忠犬傲娇武士×富家千金 柳演锡×金泰梨,https://www.bilibili.com/video/BV1h34y1475D?from=search&seid=4171644475137489362,2022-03-29,bamboo0912,https://i2.hdslb.com/bfs/archive/71ba3f2c368cf2bb30fc5332169e64a75590bdec.jpg@400w_250h_1c.webp,2.0万
“我 想 你 了”‖金泰梨×南柱赫‖二十五二十一‖罗希度×白易辰,https://www.bilibili.com/video/BV1c3411577V?from=search&seid=4171644475137489362,2022-02-27,Suzyuuuuuu,https://i1.hdslb.com/bfs/archive/be64a312c67b9c7145ce1f73e655e4f24cfd0609.jpg@400w_250h_1c.webp,4238
李俊昊、金泰梨夺冠 百想艺术人气奖出炉 20220430,https://www.bilibili.com/video/BV1f44y1M7KC?from=search&seid=4171644475137489362,2022-05-01,祘任,https://i2.hdslb.com/bfs/archive/04746287201733bb942810fdf376fcb05d71a88e.jpg@400w_250h_1c.webp,9752
太尴尬！金泰梨百想红毯礼服被曝是假货，肩带裙面和原版差距明显,https://www.bilibili.com/video/BV1uS4y1h7WH?from=search&seid=4171644475137489362,2022-05-07,盖饭娱乐官方号,https://i1.hdslb.com/bfs/archive/3b16b9ed636def907094378859ead7d397aed405.jpg@400w_250h_1c.webp,1.4万
是个女人的醋她都吃 鬼马女主吃醋合集 男主好宠！【南柱赫×金泰梨 二十五二十一】,https://www.bilibili.com/video/BV1kZ4y1r7G8?from=search&seid=4171644475137489362,2022-03-06,全网最花心女孩,https://i1.hdslb.com/bfs/archive/1f7833f3aafc0d7a89cee1b9d18ee2b8e6970003.jpg@400w_250h_1c.webp,1.8万
我的天呐！！！！！金泰梨这样对你笑着转身离去谁能顶的住阿啊啊啊啊啊啊啊啊！！！！！！！！！！！,https://www.bilibili.com/video/BV1mr4y1s75R?from=search&seid=4171644475137489362,2022-05-25,bili_28418509364,https://i2.hdslb.com/bfs/archive/7e33d5683734eeedd71621e4ca56493e0c5452d8.jpg@400w_250h_1c.webp,334
【韩国电影】小姐 姬向感情剪辑 金敏喜×金泰梨（金泰璃）,https://www.bilibili.com/video/BV1Vs411x7fK?from=search&seid=4171644475137489362,2016-11-04,hikarihihi,https://i2.hdslb.com/bfs/archive/9e93a289ac771b81f442ee5f448660de9219f213.jpg@400w_250h_1c.webp,5.7万
【金泰梨】救命！她为什么可以这么可爱(≧ω≦)/,https://www.bilibili.com/video/BV1V44y1u77n?from=search&seid=4171644475137489362,2022-05-07,哈奔儿一个,https://i0.hdslb.com/bfs/archive/bafb7344e478ba16b49d72ff04cdf8638d8b71f5.jpg@400w_250h_1c.webp,4.5万
哈哈哈哈哈哈哈哈天知道这段我看了多少遍｜二十五二十一｜南柱赫X金泰梨,https://www.bilibili.com/video/BV1qb4y1p7Jd?from=search&seid=4171644475137489362,2022-03-19,田虎本虎,https://i1.hdslb.com/bfs/archive/b621530848b54c39b18ac14271b561cff4c113d2.jpg@400w_250h_1c.webp,1.8万
二十五，二十一 | theswoon幕后花絮 金泰梨|南柱赫|苞娜|崔显旭|李周明|tvN|韩剧|Netflix|网飞,https://www.bilibili.com/video/BV1fU4y1o7M8?from=search&seid=4171644475137489362,2022-03-12,可宇可宙,https://i0.hdslb.com/bfs/archive/2193ad51410272231acca69f27dff23f3c461564.jpg@400w_250h_1c.webp,7226
【金泰梨 | 梨花殿中字】220506 第58届百想获奖部分及后台采访合集,https://www.bilibili.com/video/BV1MS4y1h7co?from=search&seid=4171644475137489362,2022-05-07,梨花殿-金泰梨园,https://i0.hdslb.com/bfs/archive/50dd43b27954028becdbd3dbac04ec0a8dfce7cc.jpg@400w_250h_1c.webp,3.0万
刚捧杯就出事？ ！金泰梨开车痛哭不能自已，南柱赫缺席百想竟是因为……原来我们都被骗了#二十五二十一#南柱赫 #金泰梨,https://www.bilibili.com/video/BV1q34y1h7s2?from=search&seid=4171644475137489362,2022-05-12,娱圈课代表,https://i2.hdslb.com/bfs/archive/7c5b0ff8eb1818c07f29b216f45d64a3a63d34e4.jpg@400w_250h_1c.webp,1.5万
金泰梨才是追星的最高境界吧！,https://www.bilibili.com/video/BV1S34y1a7Lr?from=search&seid=4171644475137489362,2022-04-30,只想暴富啊啊啊,https://i0.hdslb.com/bfs/archive/4b4d87c502cc8eb334b0b082b93125e9a92587d5.jpg@400w_250h_1c.webp,1.0万
#金泰梨#南柱赫 校霸对女二明目张胆的爱意太嗑了，原来女二认识女主的时候，比她认识自己的时候早，一时间不知道了该谁了,https://www.bilibili.com/video/BV1pY411V7Wi?from=search&seid=127733203500201330,2022-02-14,阿尼安v,https://i2.hdslb.com/bfs/archive/954636fb198cdf7da3352da1177e2609e83e5359.jpg@400w_250h_1c.webp,1.5万
【金泰梨 | 两站联合中字】《二十五二十一》剧组 升琬家Set Tour,https://www.bilibili.com/video/BV1na411h7De?from=search&seid=127733203500201330,2022-03-03,梨花殿-金泰梨园,https://i2.hdslb.com/bfs/archive/931bf0167bc7deb665486a1c30ddd712cfa2a3ff.jpg@400w_250h_1c.webp,5.2万
你是我的光 我的淑姬啊 | 踩点混剪 | 金泰梨&金敏喜,https://www.bilibili.com/video/BV1yu411C7rz?from=search&seid=127733203500201330,2022-04-12,阿西你帮我取个名吧,https://i1.hdslb.com/bfs/archive/70ad806df2e1f6e7816349164b7b94e5c4288f60.jpg@400w_250h_1c.webp,2825
知道你喜欢收集贴纸所以我一直带在身上，男主#南柱赫 也太撩了，所有人都知道冠军喜欢收集贴纸了哈哈哈哈#金泰梨,https://www.bilibili.com/video/BV17T4y1D7vK?from=search&seid=127733203500201330,2022-03-07,i克斯弗,https://i0.hdslb.com/bfs/archive/91c0cab5b36ff8605cf60078c39931e3afd2950c.jpg@400w_250h_1c.webp,3.2万
以这样的理由分手你们真的对吗……希度分手说话不留余地真的大家不要学哈哈哈【南柱赫x金泰梨】【二十五二十一】,https://www.bilibili.com/video/BV15P4y1K7k3?from=search&seid=127733203500201330,2022-04-03,四耶知秋,https://i0.hdslb.com/bfs/archive/5bf78faef3e7858f76a0a376888558c51142ee3b.jpg@400w_250h_1c.webp,2.2万
【南柱赫 金泰梨】二十五二十一，她明明那么怕，却依然那么勇！,https://www.bilibili.com/video/BV1Dr4y167rR?from=search&seid=127733203500201330,2022-02-20,汝恋卿,https://i2.hdslb.com/bfs/archive/905e97369d27592e2f85a7ce1f4522b72f68c5c5.jpg@400w_250h_1c.webp,1.0万
拜托，这可是金泰梨哎！超美的好嘛,https://www.bilibili.com/video/BV1zB4y1m7yx?from=search&seid=127733203500201330,2022-04-27,菜FoFo,https://i0.hdslb.com/bfs/archive/74945d74816a940c9cc37d76906ab98a3221ffe5.jpg@400w_250h_1c.webp,1.3万
“平时温文尔雅的小姐，背地里8000个心眼” &quot;金敏喜 &quot;金泰梨 &quot;,https://www.bilibili.com/video/BV1j34y1Y7Si?from=search&seid=127733203500201330,2022-05-05,沂墨影视,https://i2.hdslb.com/bfs/archive/bfa57c29945614cb2362d733cab799eaac161813.jpg@400w_250h_1c.webp,1473
